id,doi,title,publication_year,abstract,authors
https://openalex.org/W2195453830,https://doi.org/10.1038/nclimate2870,Biophysical and economic limits to negative CO2 emissions,2016,"To have a >50% chance of limiting warming below 2 °C, most recent scenarios from integrated assessment models (IAMs) require large-scale deployment negative emissions technologies (NETs). These are that result in the net removal greenhouse gases atmosphere. We quantify potential global impacts different NETs on various factors (such as land, gas emissions, water, albedo, nutrients and energy) to determine biophysical limits to, economic costs of, their widespread application. Resource implications vary between need be satisfactorily addressed if significant role achieving climate goals.","Pete Smith, Steven J. Davis, Felix Creutzig, Sabine Fuss, Jan C. Minx, Benoit Gabrielle, Etsushi Kato, Robert B. Jackson, Annette Cowie, Elmar Kriegler, Detlef P. van Vuuren, Joeri Rogelj, Philippe Ciais, J. Milne, Josep Peñuelas, David L. McCollum, Glen P. Peters, Yu Liu, Volker Krey, Gyami Shrestha, Pierre Friedlingstein, Thomas Gasser, Arnulf Grubler, Wolfgang K. Heidug, Matthias Jonas, Chris Jones, Florian Kraxner, Emma Littleton, J. Lowe, José Roberto Moreira, Nebojsa Nakicenovic, Michael Obersteiner, Anand Patwardhan, Mathis Rogner, Edward S. Rubin, Ayyoob Sharifi, Asbjørn Torvanger, Yoshiki Yamagata, James A. Edmonds, Cho Yongsung"
https://openalex.org/W18536190,https://doi.org/10.1007/978-3-658-22261-1_12,New Social Movements: Challenging the Boundaries of Institutional Politics (1985),2019,"Political sociologists and political scientists who analyze Western European politics have made it a commonplace since the 1970s to emphasize fusion of nonpolitical spheres social life. They seriously questioned usefulness conventional dichotomy “state” “civil society.” Processes are evident not only on level global sociopolitical arrangements, but also among citizens as elementary actors. The delineation between “political” “private” (in other words, moral or economic concerns modes action) is becoming blurred.",Claus Offe
https://openalex.org/W2092902022,https://doi.org/10.1016/j.riob.2014.09.001,The governance of social enterprises: Mission drift and accountability challenges in hybrid organizations,2014,"We examine the challenges of governance facing organizations that pursue a social mission through use market mechanisms. These hybrid organizations, often referred to as enterprises, combine aspects both charity and business at their core. In this paper we distinguish between two ideal types such hybrids, differentiated integrated, conceptualize key they face: accountability for dual performance objectives multiple principal stakeholders. revisit potential limitations recently introduced legal forms address these challenges. then theorize about importance organizational role governing boards in particular, prioritizing aligning potentially conflicting interests order avoid drift maintain hybridity enterprises. Finally, discuss future research directions implications work rethinking traditional categories namely charity.","Alnoor Ebrahim, Julie Battilana, Johanna Mair"
https://openalex.org/W2041842081,https://doi.org/10.1111/1468-0386.00031,From Intergovernmental Bargaining to Deliberative Political Processes: The Constitutionalisation of Comitology,1997,"This article argues that the irresistible rise of Comitology is an institutional response to deep‐seated tensions between dual supranational and intergovernmentalist structure Community on one hand, its problem‐solving tasks other. has accordingly provided a forum in which problems are addressed through evolving novel processes interest formation decision‐making. However, neither legal nor political science have been able properly evaluate workings committee system, both disciplines remaining trapped within normative structures traditional methodologies ill‐suited analysis these innovations. As consequence, this advocates trans‐disciplinary study Comitology, furthermore two might be drawn together by concept ‘deliberative supranationalism’: being hand approach seeks preserve legitimacy national democracies set limits upon Nation State community; other, theoretical tool nonetheless responsive accomodating ‘real‐world’ phenomena.","Christian Joerges, Jürgen Neyer"
https://openalex.org/W2003457148,https://doi.org/10.1007/s10551-012-1414-3,Organizing for Society: A Typology of Social Entrepreneuring Models,2012,"In this article, we use content and cluster analysis on a global sample of 200 social entrepreneurial organizations to develop typology entrepreneuring models. This is based four possible forms capital that can be leveraged: social, economic, human, political. Furthermore, our findings reveal these models are associated with distinct logics justification may explain different ways organizing across organizations. study contributes understanding entrepreneurship as field practice it describes avenues for theorizing about the organizational approaches adopted by entrepreneurs.","Johanna Mair, Julie Battilana, Julián Cárdenas"
https://openalex.org/W1483436082,https://doi.org/10.1177/0170840615580007,Navigating Institutional Plurality: Organizational Governance in Hybrid Organizations,2015,"Hybrid organizations operate in a context of institutional plurality and enact elements multiple, often conflicting logics. Governance is highly relevant navigating such an environment. This study examines how hybrid set up their governance structures practices. Building on survey data from 70 social enterprises, subset organizations, we identify two types organization: conforming hybrids rely the prioritization single logic dissenting use defiance, selective coupling innovation as mechanisms to combine balance prescriptions several We illustrate these by drawing qualitative analysis selected cases. refines current debates enterprises organizations. Based our findings, speculate that some might assume hybridity for symbolic reasons while others – genuine do so substantive reasons.","Johanna Mair, Judith Mayer, Eva Lutz"
https://openalex.org/W2125389968,https://doi.org/10.1017/s0020818305050356,"Getting Socialized to Build Bridges: Constructivism and Rationalism, Europe and the Nation-State",2005,"Building on the empirical findings of preceding articles, we advance three arguments. First, while socialization research has typically been construed as constructivism's home turf, this volume's emphasis mechanisms and scope conditions reveals that rational choice much to contribute here well. We develop claim by undertaking a “double interpretation” each essay, which allows us more fine-grained arguments connecting two social theories. Second, there are good conceptual reasons for expecting predominance international in Europe, cases instead suggest its effects often weak secondary dynamics at national level. make sense puzzle reasoning explicitly longitudinal terms, drawing work European identity, noting students socialization—as well integration—have gain “bringing domestic back in.” Finally, our collaborators have demonstrated theoretical benefits combining ontology with positivist epistemology, comes cost, normative perspectives neglected. This matters—and all so Europe marked supranational constitution- polity building. Socialization may take beyond nation-state, but their legitimacy governance implications bring back—forcefully—to it.We grateful project participants contributors volume valuable discussions themes addressed here. For detailed comments earlier versions thank anonymous reviewers, IO editors, Peter Katzenstein, Ron Mitchell.","Michael Zürn, Jeffrey T. Checkel"
https://openalex.org/W2180157113,https://doi.org/10.1126/science.aac8033,Transport: A roadblock to climate change mitigation?,2015,Urban mobility solutions foster climate mitigation,"Felix Creutzig, Patrick Jochem, Oreane Y. Edelenbosch, Linus Mattauch, Detlef P. van Vuuren, David L. McCollum, Jan C. Minx"
https://openalex.org/W2100491433,https://doi.org/10.1017/s0003055412000275,Benchmarking across Borders: Electoral Accountability and the Necessity of Comparison,2012,"When the economy in a single country contracts, voters often punish government. many economies contract, turn against their governments much less frequently. This suggests that international context matters for domestic vote, yet most research on electoral accountability assumes treat national as autarkic. We decompose two key economic aggregates—growth real gross product and unemployment—into components demonstrate hold incumbents more electorally accountable than component of growth. Voters wide variety democracies benchmark growth abroad, punishing (rewarding) outcomes underperform (outperform) an comparison. Tests suggest this effect arises not from highly informed making direct comparisons but “pre-benchmarking” by media when reporting economy. The benchmarked exceeds aggregate up to factor outstrips even larger margin, implying previous may have underestimated strength vote.","Mark Andreas Kayser, Michael Peress"
https://openalex.org/W1507783765,https://doi.org/10.1017/cbo9780511759505,Fiscal Governance in Europe,2009,"This book presents a theoretical framework to discuss how governments coordinate budgeting decisions. There are two modes of fiscal governance conducive greater discipline, mode delegation and contracts. These contrast with fiefdom form governance, in which the decision-making process is decentralized. An important insight that effectiveness given depends crucially upon underlying political system. Delegation functions well when there few, or no, ideological differences among government parties, whereas contracts effective many such differences. Empirically, contract states perform better than if they match Additional chapters consider why countries have institutions do, Central Eastern Europe, role European Union.","Mark Hallerberg, Rolf Strauch, Jürgen von Hagen"
https://openalex.org/W2128102743,https://doi.org/10.1057/ejis.2013.19,Internet adoption by the elderly: employing IS technology acceptance theories for understanding the age-related digital divide,2014,"Information technology (IT) allows members of the growing elderly population to remain independent longer. However, while becomes more and pervasive, an age-related underutilisation...","Björn Niehaves, Ralf Plattfaut"
https://openalex.org/W3124229805,https://doi.org/10.1016/j.eneco.2010.07.002,Gone with the wind? — Electricity market prices and incentives to invest in thermal power plants under increasing wind energy supply,2011,"The increased wind energy supplied to many electricity markets around the world has be balanced by reliably ramping units or other complementary measures when conditions are low. At same time impacts both, utilization of thermal power plants and market prices. While prices tend decrease, impact on different plant types is at outset unclear. To analyze incentives invest in under supply, we develop a computational model which includes restrictions costs apply it German case. We find that due current supply reduced more than five percent, natural gas fired largely reduced. An erodes their attractiveness further. Consequently, gap between need for incentive provide flexibility can expected.","Thure Traber, Claudia Kemfert"
https://openalex.org/W2167213971,https://doi.org/10.1111/j.1467-8543.2012.00913.x,The Paradox of Liberalization - Understanding Dualism and the Recovery of the German Political Economy,2014,"What do the recent trends in German economic development convey about trajectory of change? Has liberalization prepared economy to deal with new challenges? effects will have on co-ordinating capacities institutions? This article argues that co-ordination and are two sides same coin process corporate restructuring face shocks. Firms seek labour co-operation tighter competitive pressures exploit institutional advantages co-ordination. However, core workers sharpened insider–outsider divisions were built upon service sector cost cutting through liberalization. The combination plant-level social policy change forms a adjustment forming complementary segments which work under different rules. is driven by producer coalitions export-oriented firms workers’ representatives, rather than per se.",Anke Hassel
https://openalex.org/W2617642170,https://doi.org/10.1016/j.techfore.2017.05.023,Capturing the dynamics of the sharing economy: Institutional research on the plural forms and practices of sharing economy organizations,2017,"Abstract To date, management research has paid little attention to dynamics of the sharing economy: how markets for resources emerge and change, intended unintended consequences resource sharing. We propose a definition economy that brings role organizations as infrastructure providers fore helps us assess culturally rooted pluralism forms practices in these organizations. introduce two perspectives on organizational institutionalism focus culture – institutional complexity work argue unpacking is critical examine economy. an agenda capture at organizational, field, inter-field level. Such document analyze manifests evolves across various economic systems potential refine recast existing theory.","Johanna Mair, Georg Reischauer"
https://openalex.org/W2154848439,https://doi.org/10.1111/j.1467-8675.2009.00570.x,Governance: An âEmpty Signifierâ?,2009,,Claus Offe
https://openalex.org/W2020169844,https://doi.org/10.1111/j.1467-9299.2012.02105.x,"OF BUREAUCRATS AND PASSIONATE PUBLIC MANAGERS: INSTITUTIONAL LOGICS, EXECUTIVE IDENTITIES, AND PUBLIC SERVICE MOTIVATION",2014,"Over recent decades, a number of managerial reform initiatives in continental Europe have aimed at moving away from the traditional Weberian model public administration. Such shifting bases legitimacy are brought about by changes institutional logics place, which not only provide frames reference but also social identities and vocabularies motive for actors field. In this article, we approach expanding research on service motivation (PSM) employing an prism. Based executive survey European context, examine assumption that high PSM is associated with ethos identity sector. What find legalistic-bureaucratic logic supports neither attraction to policy-making nor level compassion. A orientation, other hand, entails significantly higher scores these two dimensions, as well overall PSM.","Renate E. Meyer, Isabell Egger-Peitler, Markus A. Höllerer, Gerhard Hammerschmid"
