institution_id,institution_display_name,institution_ror,institution_country_code,institution_type,author_id,author_display_name,author_orcid,id
https://openalex.org/I195460627,University of Aberdeen,https://ror.org/016476m91,GB,education,https://openalex.org/A2144380480,Pete Smith,https://orcid.org/0000-0001-6007-2231,https://openalex.org/W2195453830
https://openalex.org/I204250578,"University of California, Irvine",https://ror.org/04gyf1771,US,education,https://openalex.org/A2131043496,Steven J. Davis,https://orcid.org/0000-0002-9338-0844,https://openalex.org/W2195453830
https://openalex.org/I4577782,Technical University of Berlin,https://ror.org/03v4gjf40,DE,education,https://openalex.org/A2622149569,Felix Creutzig,https://orcid.org/0000-0002-5710-3348,https://openalex.org/W2195453830
https://openalex.org/I4210086490,Mercator Research Institute on Global Commons and Climate Change,https://ror.org/002jq3415,DE,other,https://openalex.org/A2106657718,Sabine Fuss,https://orcid.org/0000-0002-8681-9839,https://openalex.org/W2195453830
https://openalex.org/I24830596,Hertie School,https://ror.org/0473a4773,DE,education,https://openalex.org/A1970203652,Jan C. Minx,https://orcid.org/0000-0002-2862-0178,https://openalex.org/W2195453830
https://openalex.org/I60200437,Potsdam Institute for Climate Impact Research,https://ror.org/03e8s1d88,DE,facility,https://openalex.org/A1970203652,Jan C. Minx,https://orcid.org/0000-0002-2862-0178,https://openalex.org/W2195453830
https://openalex.org/I4210108708,Functional Ecology and Ecotoxicology of AgroEcosystems,https://ror.org/01z6yh944,FR,facility,https://openalex.org/A2240499027,Benoit Gabrielle,,https://openalex.org/W2195453830
https://openalex.org/I4210147409,Institute of Applied Energy,https://ror.org/051ywtd91,JP,facility,https://openalex.org/A2256399797,Etsushi Kato,https://orcid.org/0000-0001-8814-804X,https://openalex.org/W2195453830
https://openalex.org/I97018004,Stanford University,https://ror.org/00f54p054,US,education,https://openalex.org/A2098993350,Robert B. Jackson,https://orcid.org/0000-0001-8846-7147,https://openalex.org/W2195453830
https://openalex.org/I275799156,University of New England,https://ror.org/02n2ava60,US,education,https://openalex.org/A2012384615,Annette Cowie,https://orcid.org/0000-0002-3858-959X,https://openalex.org/W2195453830
https://openalex.org/I60200437,Potsdam Institute for Climate Impact Research,https://ror.org/03e8s1d88,DE,facility,https://openalex.org/A73564500,Elmar Kriegler,https://orcid.org/0000-0002-3307-2647,https://openalex.org/W2195453830
https://openalex.org/I1326018075,Netherlands Environmental Assessment Agency,https://ror.org/052x1hs80,NL,facility,https://openalex.org/A2098218527,Detlef P. van Vuuren,https://orcid.org/0000-0003-0398-2831,https://openalex.org/W2195453830
https://openalex.org/I193662353,Utrecht University,https://ror.org/04pp8hn57,NL,education,https://openalex.org/A2098218527,Detlef P. van Vuuren,https://orcid.org/0000-0003-0398-2831,https://openalex.org/W2195453830
https://openalex.org/I1317774081,International Institute for Applied Systems Analysis,https://ror.org/02wfhk785,AT,nonprofit,https://openalex.org/A1856799293,Joeri Rogelj,https://orcid.org/0000-0003-2056-9061,https://openalex.org/W2195453830
https://openalex.org/I5124864,École Polytechnique Fédérale de Lausanne,https://ror.org/02s376052,CH,facility,https://openalex.org/A1856799293,Joeri Rogelj,https://orcid.org/0000-0003-2056-9061,https://openalex.org/W2195453830
https://openalex.org/I4210124937,Laboratoire des Sciences du Climat et de l'Environnement,https://ror.org/03dsd0g48,FR,facility,https://openalex.org/A269559249,Philippe Ciais,https://orcid.org/0000-0001-8560-4943,https://openalex.org/W2195453830
https://openalex.org/I97018004,Stanford University,https://ror.org/00f54p054,US,education,https://openalex.org/A2577354494,J. Milne,,https://openalex.org/W2195453830
,Oceans and Atmosphere Research,,,,https://openalex.org/A2009154980,Josep Peñuelas,https://orcid.org/0000-0002-7215-0150,https://openalex.org/W2195453830
https://openalex.org/I1317774081,International Institute for Applied Systems Analysis,https://ror.org/02wfhk785,AT,nonprofit,https://openalex.org/A2073944842,David L. McCollum,https://orcid.org/0000-0003-1293-0179,https://openalex.org/W2195453830
,Center for International Climate and Environmental Research - Oslo,,,,https://openalex.org/A2099547851,Glen P. Peters,https://orcid.org/0000-0001-7889-8568,https://openalex.org/W2195453830
,Center for International Climate and Environmental Research - Oslo,,,,https://openalex.org/A2716735648,Yu Liu,https://orcid.org/0000-0001-5514-0199,https://openalex.org/W2195453830
https://openalex.org/I1317774081,International Institute for Applied Systems Analysis,https://ror.org/02wfhk785,AT,nonprofit,https://openalex.org/A2163861640,Volker Krey,https://orcid.org/0000-0003-0307-3515,https://openalex.org/W2195453830
https://openalex.org/I2801965753,United States Global Change Research Program,https://ror.org/04bqa9n74,US,government,https://openalex.org/A2177506274,Gyami Shrestha,https://orcid.org/0000-0001-7150-8731,https://openalex.org/W2195453830
https://openalex.org/I97018004,Stanford University,https://ror.org/00f54p054,US,education,https://openalex.org/A194719611,Pierre Friedlingstein,https://orcid.org/0000-0003-3309-4739,https://openalex.org/W2195453830
https://openalex.org/I4210124937,Laboratoire des Sciences du Climat et de l'Environnement,https://ror.org/03dsd0g48,FR,facility,https://openalex.org/A2806196876,Thomas Gasser,https://orcid.org/0000-0003-4882-2647,https://openalex.org/W2195453830
https://openalex.org/I1317774081,International Institute for Applied Systems Analysis,https://ror.org/02wfhk785,AT,nonprofit,https://openalex.org/A1261507576,Arnulf Grubler,https://orcid.org/0000-0002-6225-7712,https://openalex.org/W2195453830
