text,cmp_code,eu_code,party
This election is about the crisis of living standards,503,,Labour
and the climate and environmental emergency.,501,,Labour
"Whether we are ready or not, we stand on the brink of unstoppable change.",501,,Labour
We must confront this change while dealing with the growing inequality and insecurity in Britain.,503,,Labour
Labour led the UK Parliament in declaring a climate and environmental emergency.,501,,Labour
"The next Labour government will lead the world in fighting it, with a plan to drive up living standards by transforming our economy into one low in carbon,",501,,Labour
The climate crisis ties us all into a common fate.,501,,Labour
This election is our best hope to protect future generations from an uninhabitable planet.,501,,Labour
"The Intergovernmental Panel on Climate Change has said we need to cut global emissions in half by 2030 to have a chance of keeping global heating within safe limits – that means acting now, and acting decisively.",501,,Labour
The Tories wasted a decade serving the interests of big polluters.,501,,Labour
Labour will use the crucial next decade to act.,305.1,,Labour
The Tories slashed support for renewable energy while pushing through dangerous fracking.,416.2,,Labour
Now Britain is decades off course on vital emissions targets.,501,,Labour
That’s why Labour will kick-start a Green Industrial Revolution,416.2,,Labour
that will create one million jobs in the UK,701,,Labour
"to transform our industry, energy, transport, agriculture and our buildings",411,,Labour
"Our Green New Deal aims to achieve the substantial majority of our emissions reductions by 2030 in a way that is evidence-based,",416.2,,Labour
"just and that delivers an economy that serves the interests of the many, not the few.",503,,Labour
"Just as the original Industrial Revolution brought industry, jobs and pride to our towns, Labour’s world-leading Green Industrial Revolution will rebuild them,",416.2,,Labour
"with more rewarding, well-paid jobs,",701,,Labour
and whole new industries to revive parts of our country that have been neglected for too long.,410,,Labour
"For some, industrial transition has become a byword for devastation, because successive Conservative governments were content to sit back and leave the fate of whole industries and communities at the mercy of market forces.",403,,Labour
A Labour government will never let that happen.,403,,Labour
"We will work in partnership with the workforce and their trade unions in every sector of our economy, so that they lead the transition in their industries,",701,,Labour
"creating new, good-quality jobs",701,,Labour
and making sure that their extensive skills are passed on to the next generation of workers.,701,,Labour
We will show the world how prioritising sustainability will not only deliver immediate improvements to everyone’s lives but also offer humanity a pathway to a more equitable and enlightened economy:,416.2,,Labour
"one that protects our environment,",501,,Labour
builds international solidarity,107,,Labour
and promises a better quality of life for all.,503,,Labour
The scale of the challenge requires nothing less.,416.2,,Labour
Tackling the destruction of our planet is a question of justice – for the communities at home and abroad who are most affected by it and for our children who will bear the consequences if we don’t.,503,,Labour
Social justice will define Labour’s approach.,503,,Labour
We will make sure that the costs of the green transition fall fairly and are mostly borne by the wealthy and those most responsible for the problem.,503,,Labour
2019 saw the blossoming of a global movement calling on politicians to wake up and act on the climate and environmental emergency.,501,,Labour
"Labour welcomed that movement and, as a government in waiting, we have turned its demands into detailed, credible plans for real change.",501,,Labour
"Delivering the far-reaching change needed to tackle the climate and environmental emergency will require a full mobilisation of national resources, both public and private.",405,,Labour
"Labour will create a Sustainable Investment Board to bring together the Chancellor, Business Secretary and Bank of England Governor to oversee, co-ordinate and bring forward this investment – involving trade unions and business.",405,,Labour
We will ask the Office for Budget Responsibility to incorporate climate and environmental impacts into its forecasts so that the cost of not acting will be factored into every fiscal decision.,416.2,,Labour
The cost of not acting is far greater than the cost of acting.,416.2,,Labour
We will launch a National Transformation Fund of £400 billion,416.2,,Labour
and rewrite the Treasury’s investment rules to guarantee that every penny spent is compatible with our climate and environmental targets –,416.2,,Labour
and that the costs of not acting are fully accounted for too.,416.2,,Labour
"Of this, £250 billion will directly fund the transition through a Green Transformation Fund dedicated to renewable and low-carbon energy and transport,",416.2,,Labour
biodiversity and environmental restoration.,501,,Labour
"We will create a National Investment Bank, backed up by a network of Regional Development Banks, to provide £250 billion of lending for enterprise,",402,,Labour
infrastructure and innovation over 10 years.,411,,Labour
They will be mandated to lend in line with our mission to decarbonise our economy,416.2,,Labour
and creating good jobs across the country.,701,,Labour
"As well as large-scale national and regional projects, smaller loans will be available through our new Post Bank based in Post Office branches, enabling thousands of bottom-up transformational changes by start-ups, small businesses, local co-operatives and community projects in towns and villages up and down the country.",402,,Labour
We will make sure that the UK’s financial sector is helping to tackle the emergency rather than fuelling it.,416.2,,Labour
We will do this by improving the fitness of our financial authorities to mobilise green investment,416.2,,Labour
and by giving them powers to manage the risk to financial stability posed by short-sighted investment in polluting assets.,403,,Labour
Just 100 companies globally are responsible for the majority of carbon emissions.,403,,Labour
We won’t be afraid to tackle this wanton corporate destruction by taking on the powerful interests that are causing climate change.,403,,Labour
We will change the criteria a company must meet to be listed on the London Stock Exchange so that any company that fails to contribute to tackling the climate and environmental emergency is delisted.,403,,Labour
Many parts of Britain would need this investment even without a climate and environmental emergency.,503,,Labour
Years of under-investment and neglect by Westminster have left too many communities feeling powerless,503,,Labour
"and too many areas left behind with low- quality jobs,",701,,Labour
weak productivity and slow growth.,410,,Labour
"The climate and environmental emergency is a chance to unite the country to face this common challenge by mobilising all our national resources, both financial and human.",501,,Labour
But we will only succeed by ensuring that everyone shares in the benefits.,503,,Labour
Labour will make sure that investment is spread evenly across the whole country and will give powers and funding to every region and nation of the UK.,301,,Labour
We will bring about a radical decentralisation of power in Britain so that local people and communities are given far greater control over their own lives and prospects.,301,,Labour
"A Local Transformation Fund in each English region will be used exclusively to fund infrastructure projects decided at a local level,",411,,Labour
"as will devolved governments in Wales, Scotland and Northern Ireland.",411,,Labour
"Our Regional Development Banks will be governed by boards made up of key local stakeholders such as local chambers of commerce, trade unions and councillors –",411,,Labour
"with Scotland, Wales and Northern Ireland empowered to make similar arrangements.",301,,Labour
